code,family,description,width_mm,height_mm,price_meter_iva,price_varilla_iva
96243IMP,TABLAS CEPILLADAS,"1""X30CM",22.5,300.0,2317.9817,6374.4496
96243NAC,TABLAS CEPILLADAS,"1""X30CM",22.5,300.0,681.3574,1873.7328
96334IMP,TABLAS CEPILLADAS,"1 1/2""X10CM",33.75,100.0,1178.314,3240.3634
96334NAC,TABLAS CEPILLADAS,"1 1/2""X10CM",33.75,100.0,359.4651,988.529
96335IMP,TABLAS CEPILLADAS,"1 1/2""X15CM",33.75,150.0,1748.1478,4807.4065
96335NAC,TABLAS CEPILLADAS,"1 1/2""X15CM",33.75,150.0,520.4112,1431.1309
96336IMP,TABLAS CEPILLADAS,"1 1/2""X20CM",33.75,200.0,2317.9817,6374.4496
96336NAC,TABLAS CEPILLADAS,"1 1/2""X20CM",33.75,200.0,681.3574,1873.7328
96337IMP,TABLAS CEPILLADAS,"1 1/2""X25CM",33.75,250.0,2887.8155,7941.4926
96237NAC,TABLAS CEPILLADAS,"1 1/2""X25CM",33.75,250.0,439.9381,1209.8299
96338IMP,TABLAS CEPILLADAS,"1 1/2""X30CM",33.75,300.0,3457.6493,9508.5357
96338NAC,TABLAS CEPILLADAS,"1 1/2""X30CM",33.75,300.0,1003.2497,2758.9366
96249IMP,TABLAS CEPILLADAS,"2""X10CM",45.0,100.0,798.4247,2195.668
96249NAC,TABLAS CEPILLADAS,"2""X10CM",45.0,100.0,252.1676,693.461
96250IMP,TABLAS CEPILLADAS,"2""X15CM",45.0,150.0,2317.9817,6374.4496
96250NAC,TABLAS CEPILLADAS,"2""X15CM",45.0,150.0,681.3574,1873.7328
96251IMP,TABLAS CEPILLADAS,"2""X20CM",45.0,200.0,3077.7601,8463.8403
96251NAC,TABLAS CEPILLADAS,"2""X20CM",45.0,200.0,895.9523,2463.8687
96252IMP,TABLAS CEPILLADAS,"2""X25CM",45.0,250.0,3837.5386,10553.2311
96252NAC,TABLAS CEPILLADAS,"2""X25CM",45.0,250.0,1110.5471,3054.0046
96253IMP,TABLAS CEPILLADAS,"2""X30CM",45.0,300.0,4597.317,12642.6219
96253NAC,TABLAS CEPILLADAS,"2""X30CM",45.0,300.0,1325.142,3644.1405
